shabby	∫ǽbi
phosphorograph	fάsfərəgræ̀f
phosphorus	fάsfərəs
phosphorous	fάsfə̀rəs
phosphorism	fάsfərizm
phosphorite	fάsfə̀rάit
phosphatide	fάsfətàid
phosphine	fάsfiʒnʒ
phosphene	fάsfìʒnʒ
phosphureted	fάsfjərétid
phossy	fάsi
fossick	fάsik
foulbrood	fάulbrùʒd
fouledup	fάuldλp
fowler	fάulər
fowling	fάuliŋ
foully	fάulli
foulness	fάulnis
fowlrun	fάulrλn
foulspoken	fάulspóukən
foulup	fάulλp
founder	fάundər
founder	fάundər
foundership	fάundər∫ìp
founded	fάundid
foundling	fάundliŋ
foundry	fάundri
foundress	fάundris
fountainhead	fάuntənhèd
fountain	fάuntin
fountain	fάuntin
faustian	fάustiən
fasching	fάʒ∫iŋ
fabre	fάʒbrə
fade	fάʒduʒ
faltboat	fάʒltbòut
faraway	fάʒrəwèi
farkleberry	fάʒrkəlbèri
pharmacopoeia	fάʒrməkəíʒə
pharmacology	fάʒrməkάlədʒi
pharmacological	fάʒrməkάlədʒikəl
pharmacy	fάʒrməsi
pharmacist	fάʒrməsist
pharmaceutic	fάʒrməsúʒtik
pharmaceutical	fάʒrməsúʒtikəl
pharmaceutically	fάʒrməsúʒtikəli
pharmaceutics	fάʒrməsúʒtiks
farmhouse	fάʒrmhàus
farreaching	fάʒrríʒt∫iŋ
farseeing	fάʒrsíʒiŋ
farsighted	fάʒrsάitid
farsightedly	fάʒrsάitidly
farsightedness	fάʒrsάitidnis
farther	fάʒrʒər
farthing	fάʒrʒiŋ
farthingale	fάʒrʒiŋgèil
farthest	fάʒrʒist
favism	fάʒvizm
fafnir	fάʒvnər
fathership	fάʒʒər∫ip
fatherless	fάʒʒərinlɔ̀ʒ
fatherlike	fάʒʒərlàik
fatherliness	fάʒʒərlinis
farfamed	fάʒʒrféimd
farfectched	fάʒʒrfét∫t
farflung	fάʒʒrflλŋ
fargone	fάʒʒrgɔ́ʒnʒ
faroff	fάʒʒrɔ́ʒf
farout	fάʒʒrάut
father	fάʒʒʒər
fatherhood	fάʒʒʒərhud
fatherland	fάʒʒʒərlæ̀nd
ferdelance	fέərdəlǽns
fairly	fέərəli
farer	fέərər
fairfaced	fέərféist
fairground	fέərgràund
fairhaired	fέərhέərd
fairy	fέəri
fairish	fέəri∫
fairydom	fέəridəm
fairyhood	fέərihùd
fairyland	fέərilæ̀nd
fairylike	fέərilàik
fareyouwell	fέərjuʒwél
fairlight	fέərlàit
fairly	fέərli
fairlead	fέərlìʒd
fermi	fέərmi
fermion	fέərmiàn
fermium	fέərmiəm
fairminded	fέərmάindid
fairness	fέərnis
faro	fέərou
pharaoh	fέərou
fairspoken	fέərspóukən
fairsized	fέərsάizd
fairtomiddling	fέərtəmídliŋ
fairtrade	fέərtréid
fairway	fέərwèi
farewell	fέərwél
fairweather	fέərwèʒər
faretheewell	fέərθiʒwél
fubsy	fλbzi
fuddyduddy	fλdidλdi
fuddle	fλdl
fuggy	fλgi
fucker	fλkər
fuckhead	fλkhèd
fucking	fλkiŋ
fuckup	fλkλp
fulgently	fλldʒəntli
fumble	fλmbl
fumbling	fλmbliŋ
fundamentality	fλndəmentǽləti
fundamentalism	fλndəméntəlìzm
fundamental	fλndəméntl
fundament	fλndəmənt
fundus	fλndəs
fundholder	fλndhòuldər
fundic	fλndik
fundraiser	fλndrèizər
funraising	fλndrèiziŋ
fungi	fλndʒai
fungible	fλndʒəbl
fungiform	fλndʒəfɔ̀ərm
fungicide	fλndʒəsàid
funabout	fλnəbàut
funnily	fλnəli
funfair	fλnfɛər
funny	fλni
funnyhaha	fλnihàʒhάʒ
funniment	fλnimənt
funniness	fλninis
funnypeculiar	fλnipikjúʒljər
funnel	fλnl
funneled	fλnld
funnelform	fλnlfɔ̀ərm
fungal	fλŋgəl
fungous	fλŋgəs
fungus	fλŋgəs
fungo	fλŋgou
fungoid	fλŋgɔid
function	fλŋk∫ən
functionate	fλŋk∫ənèit
functionary	fλŋk∫ənèri
functionalism	fλŋk∫ənəlizəm
funetional	fλŋk∫nəl
funkia	fλŋkiə
funkiness	fλŋkinis
fussbudget	fλsbλdʒit
fussily	fλsəli
fusser	fλsər
fussy	fλsi
fuscous	fλskəs
fusspot	fλspàt
fustian	fλst∫ən
fusty	fλsti
fustic	fλstik
fustily	fλstili
fustiness	fλstinis
fustigate	fλstʌgèit
futtock	fλtək
fuzzball	fλzbɔ̀ʒl
fuzzbuster	fλzbλstər
fuzzbuzz	fλzbλz
fuzzy	fλzi
fuzzily	fλzili
fuzziness	fλzinis
fuzzywuzzy	fλziwλzi
factualistic	fӕktʃuəlístik
gammy	g;æmi
gagers	g;eidʒərz
gaia	g;eiə
gostop	g;oustàp
galimatias	g`ləméi∫iəs
gosh	ga∫
gallimaufry	gaælæmɔ́ʒfri
guiana	gaǽnə
gob	gab
god	gad
goddaughter	gaddɔ̀ʒtər
godchild	gadt∫àild
gash	gæ∫
gash	gæ∫
gash	gæ∫
gab	gæb
gaba	gǽbə
gabble	gǽbəl
gabbler	gǽbəl
gabonese	gæ̀bəníʒz
gabber	gǽbər
gabardine	gǽbərdìn
gaberdine	gǽbərdìn
gabfest	gǽbfèst
gabby	gǽbi
gabon	gæbɔ́ʒŋ
gabbro	gǽbrou
gad	gæd
gad	gæd
gadder	gædder
gadabout	gǽdəbàut
gadolinite	gǽdələnàit
gadolinium	gæ̀dəlíniəm
gadfly	gǽdflài
gladden	gǽdn
gadwall	gǽdwɔʒl
gadsman	gǽdzmən
gadget	gǽdʒit
gadgeteer	gæ̀dʒitə́r
gadgety	gǽdʒiti
gadgetry	gǽdʒitri
gameelan	gǽəlæ̀n
gaff	gæf
gaffe	gæf
gaffer	gǽfər
gaffrigged	gǽfrìgd
gag	gæg
gaggle	gǽgəl
gagger	gǽgər
gagroot	gǽgfùʒt
gagman	gægmæn
gagster	gǽgstər
gal	gæl
gal	gæl
galbanum	gǽlbənəm
galbraith	gǽlbreiθ
galbraithian	gælbréiθiən
gallophile	gǽləfàil
gallophobe	gǽləfòub
gallophobia	gæ̀ləfòub
glahad	gǽləhæ̀d
galahad	gæ̀ləhǽd
galaxy	gǽləksi
galactometer	gæ̀ləktάmətər
galilee	gǽləlìʒ
galilee	gǽləlìʒ
galileo	gæ̀ləlíʒou
gallon	gǽlən
gallinaceous	gæ̀lənéi∫æs
gallinacean	gæ̀lənéi∫ən
gallinule	gǽlənjùʒl
gallant	gǽlənt
galantine	gǽləntìn
gallantly	gǽləntli
gallantry	gǽləntri
gallop	gǽləp
gallup	gǽləp
galop	gǽləp
galop	gǽləp
galipot	gǽləpàt
gallipot	gǽləpàt
galloper	gǽləpər
galloping	gǽləpiŋ
gallery	gǽləri
galleryite	gǽləriàit
galleried	gǽlərid
gallous	gǽləs
gallicize	gǽləsàiz
galluses	gǽləsiz
gallicization	gæ̀ləsizéi∫ən
gallicism	gǽləsizəm
gallused	gǽləst
galatea	gæ̀lətíʒə
galatea	gæ̀lətíʒə
galavant	gǽləvæ̀nt
gallivant	gǽləvæ̀nt
galloway	gǽləwèi
galley	gǽli
galliambic	gæ̀liǽmbik
gallium	gǽliəm
galleon	gǽliən
galleass	gǽliəs
galiot	gǽliət
galligasking	gæ̀ligǽskinz
gallic	gǽlik
gallic	gǽlik
gallican	gǽlikən
galingale	gǽlingèil
gallinipper	gǽlinìpər
gallio	gǽliòu
galliot	gǽlipàt
galilean	gǽlíʒən
gallo	gǽlou
gallomaniac	gæ̀louméiniæ̀k
gallomania	gæ̀louméiniə
gallows	gǽlouz
gallowsripe	gǽlouzràip
galvanize	gǽlvǽnàiz
galvanic	gælvǽnik
galvanizaion	gæ̀lvənizéi∫ən
galvanism	gǽlvənìzəm
galvanoacupuncture	gæ̀lvənouæ̀kjupλŋkt∫ər
galvanoplastric	gæ̀lvənouplǽstik
galvanoplastrics	gæ̀lvənouplǽstiks
galvanoscope	gǽlvənuskòup
galvanography	gæ̀lvənάgrəfi
galvanometry	gæ̀lvənάmətri
galvanometer	gæ̀lvənάmitər
galveston	gǽlvistən
galvani	gælvάni
galwegian	gælwíʒdʒiən
gam	gæm
gam	gæm
gamb	gæmb
gambade	gæmbéid
gambado	gæmbéidou
gamble	gǽmbəl
gamble	gǽmbəl
gambol	gǽmbəl
gambia	gǽmbiə
gambian	gæmbiən
gambier	gǽmbiər
gambit	gǽmbit
gambler	gǽmblər
gambling	gǽmbliŋ
gamblesome	gǽmblsəm
gambrel	gǽmbrəl
gamboge	gæmbúʒʒ
gammexan	gæméksein
gamma	gǽmə
gammon	gǽmən
gammon	gǽmən
gammon	gǽmən
gammon	gǽmən
gammoning	gǽməniʒ
gammer	gǽmər
gammasonde	gǽməsànd
gamut	gǽmət
gamic	gǽmik
gamin	gǽmin
gamine	gæmíʒnʒ
gander	gǽmndər
gamogenesis	gæ̀moudʒénəsis
gamopetalous	gæ̀moupétələs
gamp	gæmp
guimpe	gæmp
gan	gæn
gandhi	gǽndi
ganges	gǽndʒiʒz
ganymede	gǽnəmìʒd
gangister	gǽnistər
gannet	gǽnit
gannet	gǽnit
ganoid	gǽnɔid
gantry	gǽntri
gang	gæŋ
gang	gæŋ
gang	gæŋ
gangue	gæŋ
gangboard	gǽŋbɔ̀rd
gangbuster	gǽŋbɔ̀stər
ganger	gǽŋər
fangle	gǽŋgəl
ganggle	gǽŋgl
gangly	gǽŋgli
gangliated	gǽŋglièitid
gangglia	gǽŋgliə
gangling	gǽŋgliŋ
ganglionic	gæ̀ŋgliάnik
gangrene	gǽŋgrin
gangland	gǽŋlæ̀nd
gangmaster	gǽŋmæ̀stər
gangplank	gǽŋplæ̀ŋk
gangrape	gǽŋrèip
gangster	gǽŋstər
gangsterism	gǽŋstərizəm
gangway	gǽŋwèi
gangsman	gǽŋzmən
gap	gæp
gapa	gǽpə
gappy	gǽpi
gapless	gǽplis
gaposis	gæpóusəs
gapped	gæpt
gaptoothed	gǽptùʒθt
garibaldi	gæ̀rəbɔ́ʒldi
garibaldi	gæ̀rəbɔ́ʒldi
garron	gǽrən
guaranty	gǽrənti
guarantee	gæ̀rəntíʒ
guarantor	gǽrəntɔ̀r
garrison	gǽrəsən
garret	gǽrət
garreter	gæ̀rətíər
gharry	gǽri
garioa	gǽriouə
garryowen	gæ̀rióuən
gareth	gǽriθ
garrulous	gǽrjələs
gas	gæs
gas	gæs
gasbag	gǽsbæ̀g
gasdynamics	gǽsdainǽmiks
gasogene	gǽsədʒìʒnʒ
gasifiable	gǽsəfàiəbl
gasification	gæ̀səfikéfikéi∫ən
gasiform	gǽsəfɔ̀ərm
gasohol	gǽsəhɔ̀ʒl
gaselier	gæ̀səlíər
gasolier	gæ̀səlíər
gasolinic	gæ̀səlíʒnik
gasser	gǽsər
glassivation	gæ̀səvéi∫ən
gasify	gǽsfài
gasguzzling	gǽsgɔ̀zəliŋ
gasguzzler	gǽsgɔ̀zlər
gashouse	gǽshàus
gasholder	gǽshòuldər
gassy	gǽsi
gaseous	gǽsiəs
gasefficient	gǽsifí∫ənt
gassing	gǽsiŋ
glacis	gǽsiʒ
gaseity	gæsíʒəti
gaseater	gǽsìʒtər
gascon	gæ̀skənéid
gasconade	gæ̀skənéid
gasket	gǽskit
gaslight	gǽslàit
gasman	gǽsmæ̀n
gasp	gæsp
gasper	gǽspər
gasping	gǽspiŋ
gaspingly	gǽspiŋli
gasripened	gǽsràipənd
gassipper	gǽssìpər
gassipping	gǽssipiŋ
gassed	gæst
gastralgia	gæstæǽldʒiə
gastar	gǽstàər
gasteropod	gǽstərəpàd
ghastly	gǽstli
ghastlily	gǽstlili
gastroptosis	gæ̀straptóusis
gastrectomy	gæstréktəmi
gastrulation	gǽstrəlèi∫ən
gastrulate	gǽstrəlèit
gastrula	gǽstrələ
gastrular	gǽstrələr
gastrinoma	gæ̀strənóumə
gastronomic	gæ̀strənάmik
gastropod	gǽstrəpàd
gastroscope	gǽstrəskòup
gastric	gǽstrik
gastrin	gǽstrin
gastritic	gæstrítik
gastroenteritis	gæ̀strouèntərάitis
gastrophotography	gæ̀stroufətάgrəfi
gastrocamera	gæ̀stroukǽmerə
gastritis	gæstrάitis
gastrology	gæstrάlədʒi
gastronome	gǽstrάlədʒi
gastronomy	gæstrάnəmi
gastronomy	gæstrάnəmi
gastronomist	gæstrάnəmist
gastropoda	gæstrάpədə
gastroscopy	gæstrάskəpi
gastromy	gæstrάtəmi
gastight	gǽstάit
gasworks	gǽswə̀ʒrks
gasometer	gæsάmətər
gat	gæt
gat	gæt
gatt	gæt
gatup	gǽt`p
gastrocolic	gæ̀trouentérik
gavel	gǽvəl
gavel	gǽvəl
gavelkind	gǽvəlkàind
gavin	gǽvin
gazogene	gǽzədʒìn
gazetteer	gæ̀zətiər
gabar	gǽʒbər
gathering	gǽʒerər
gather	gǽʒər
gather	gǽʒər
gatherd	gǽʒərd
gatherer	gǽʒərər
gath	gæθ
gargantua	gaərǽnt∫uə
garbageology	gàərbidʒάlədʒi
garbology	gaərbάədʒi
garbologist	gaərbάlədʒəst
gardenia	gaərdiʒnjə
gargantuan	gaərgǽnt∫uən
garth	gaərθ
guy	gai
guy	gai
guy	gai
guy	gai
guyana	gaiǽnə
guide	gaid
guide	gaid
guyaness	gàiəníʒz
guile	gail
gyle	gail
gynandromrph	gainǽndrəmɔ̀ərf
gynandrous	gainǽndrəs
gynoecium	gainí;siəm
gynephobia	gàinifóubiə
gynec	gàinik
gynecology	gàinikàləd∫i
gynecocratic	gàinikoukæ̀tik
gynecocrat	gàinikoukræ̀t
gynecomastia	gàinikoumǽstiə
gynecocracy	gàinikάkʌsi
gynecopathy	gàinikάpəθi
gynocracy	gainάkrəsi
geist	gaist
guise	gaiz
gock	gak
golf	galf
golfer	galfər
golconda	galkάndə
gombeenman	gambíʒnmæn
gombeen	gambíʒnʒ
gombroom	gambrúʒnʒ
gon	gan
gondolier	gàndəlíər
gong	gaŋ
gong	gaŋ
gosplan	gasplάn
gossoon	gasún
got	gat
gouge	gaudʒ
gaur	gauer
gown	gaun
gownsman	gaunzmən
gauss	gaus
gout	gaut
gaboon	gaʒbúʒnʒ
ghanaian	gaʒnʒéiən
gar	gaʒr
garb	gaʒrb
guard	gaʒrd
guard	gaʒrd
gardenesque	gàʒrdenésk
guardant	gaʒrdnt
garn	gaʒrn
garnishee	gàʒrni∫íʒ
garcon	gaʒrsɔ́ʒ
gateau	gaʒtóu
gaberones	gàʒʒbæróunes
gaborone	gàʒʒbəróuni
goth	gaθ
gay	gei
gey	gei
gable	géibəl
gaby	géibi
gabion	géibiən
gabriel	géibriəl
gadid	géidid
gage	geidʒ
gauge	geidʒ
gauge	geidʒ
gager	géidʒər
gauger	géidʒr
gaiety	géiəti
gayety	géiəti
gegenschein	géigən∫àin
gayin	géiìn
gael	geil
gail	geil
gale	geil
galenic	geilénik
galenical	geilénikəl
gala	géilə
galen	géilən
gaily	géili
gayly	géili
galeate	géilièit
galeated	géilièitid
galea	géiliə
gaelic	geilik
gaeltacht	géiltəxt
game	geim
game	geim
game	geim
game	geim
gamey	géimi
gamy	géimi
gamily	géimili
gaminess	géiminsis
gaming	géimiŋ
gamecock	géimkàk
gamely	géimli
gameness	géimnis
gamesome	géimsəm
gamester	géimstər
gamesman	géimzmən
gamesmanship	géimzmən∫ìp
gain	gein
gainable	géinəbl
gainer	géinər
gainings	géiniŋz
gayness	géinis
gainly	géinli
gainless	géinlis
gainsay	geinséi
gainsaid	gèinséid
gainsayer	geinséiər
gayola	geióulə
gape	geip
gaypayoo	géipèiúʒ
gaper	géipər
gapingly	géipiŋli
gapeseed	géipsìʒd
gapeworm	géipwə̀ʒrm
gayrights	géiràits
gaitskell	géiskəl
geest	geist
gait	geit
gate	geit
gate	geit
gaiter	géitər
gator	géitər
gaitered	géitərd
gatorade	gèitəréid
gaited	géitid
gatecrasher	géitkræ̀∫ər
gateman	géitmən
gatemouth	géitməuθ
gatepost	géitpòust
gateway	géitwèi
gave	geiv
gavial	géiviəl
guevara	geivάʒra
guevarism	geivάʒrism
gaze	geiz
gazehound	géizhàund
yegg	gej
gecko	gékou
geld	geld
geld	geld
gelt	gelt
gelt	gelt
gemsbok	gémzbàk
gainst	genst
gerry	géri
ghero	gerάu
guess	ges
guest	gest
guestimate	géstəmèit
guesstimate	gèstəméit
guesthouse	gésthàus
guestnight	géstnàit
guestchamber	géstt∫èimbər
guesswork	géswə̀ʒrk
get	get
get	get
get	get
getatable	getǽtəbəl
getout	gétàut
gettable	gétəbl
geracquainted	gétəkwéintid
getter	gétər
getaway	gétəwèi
gettysburg	gétizbə̀ʒrg
ghetto	gétou
ghettoize	gétouàiz
ghettoization	gétouàizéi∫ən
ghettoism	gétouìzm
getrichquick	gétrìt∫kwík
gettogether	géttəgèʒər
gettough	gèttλf
getup	gétλp
getupandgo	getλpəndgóu
gethsemane	geθséməni
gestalt	gə∫tάʒlt
gaberlunzie	gə̀bærlλnzi
gabelle	gəbə́l
gadhelic	gədélik
gadroon	gədrúʒnʒ
godiva	gədάivə
gagarin	gəgάʒʒrin
gabled	gə́ibld
gablet	gə́iblit
pellagrin	gəlǽgrin
galactic	gəlǽktik
galactose	gəlǽktous
galatia	gəléi∫ə
galatian	gəléi∫ən
galatians	gəléi∫iənz
gelandesprung	gəléndəsprùŋ
galician	gəli∫ən
galena	gəlínə
galenite	gəlíʒnait
galeeny	gəlíʒni
galore	gəlɔ́ʒr
galloon	gəlúʒnʒ
galoot	gə́lúʒt
galosh	gəlά∫
gaillardia	gəlάərdiə
goliath	gəlάiəθ
galah	gəlάʒʒ
galere	gəlέər
galumph	gəlλmf
goluptious	gəlλp∫əs
gammadion	gəméidiàn
gametic	gəmétik
gamete	gəmíʒt
gametophyte	gəmíʒtəfàit
gametogenesis	gəmìʒtoudʒénəsis
gemutlich	gəmúʒtlik
gemutlichkeit	gəmúʒtlikkait
gemeinschaft	gəmάin∫àʒft
gemara	gəmάʒʒrə
gorilla	gərílə
guerilla	gərílə
guerrilla	gərílə
girlygirly	gə́rligə́ʒrli
garrulity	gərúʒləti
garotte	gərάt
garrote	gərάt
garrotter	gərάt`r
garage	gərάʒʒ
garageful	gərάʒʒʒful
garageman	gərάʒʒʒmæn
gastroscopic	gə̀strəskάpik
gestapo	gəstάʒpou
gavotte	gəvάt
gavage	gəvάʒʒʒ
gawain	gəwéin
gazabo	gəzéibou
gazebo	gəzéibou
gazelle	gəzél
gesellschaft	gəzél∫àʒʒft
gazelleeyed	gəzélάid
gazette	gəzét
gesundheit	gəzúnthàit
gesamtkunstwerk	gəzάʒʒmtkùnstvɛərk
gazump	gəzλmp
gazumping	gəzλmpiŋ
gerbera	gə́ʒrbərə
gird	gəʒrd
gird	gəʒrd
gurjun	gə́ʒrd∫ən
girder	gə́ʒrdər
girderage	gə́ʒrdəridʒ
girdle	gə́ʒrdl
girdler	gə́ʒrdlər
girdlecake	gə́ʒrdlkèik
gurgitation	gə̀ʒrdʒətéi∫ən
gurgle	gə́ʒrgəl
gurglet	gə́ʒrglət
gurglingly	gə́ʒrgliŋli
gurkha	gə́ʒrkə
gerkin	gə́ʒrkin
gherkin	gə́ʒrkin
girl	gəʒrl
girlhood	gə́ʒrlhud
girlie	gə́ʒrli
girlish	gə́ʒrli∫
girlcott	gə́ʒrlkàt
gurnard	gə́ʒrnərd
guerdon	gə́ʒrnzi
guernsey	gə́ʒrnzi
girt	gəʒrt
gertie	gə́ʒrti
gertrude	gə́ʒrtruʒd
gertrude	gə́ʒrtruʒd
girth	gəʒrθ
girth	gəʒrθ
goethe	gə́ʒtə
goethean	gə́ʒtiən
gib	gib
ghielline	gíbəlìʒnʒ
gibbon	gíbən
gibbous	gíbəs
gibeon	gíbiən
gibeonit	gíbiənàit
ghibli	gíbli
gibson	gíbsn
giddily	gídəli
giddy	gídi
giddy	gídi
gideon	gídiən
giddiness	gídinis
gilding	gídiŋ
gidger	gídʒət
gear	giər
gearshift	gíər∫ift
gearbos	gíərbàks
gearing	giəriŋ
gearcase	gíərkèis
gifford	gífərd
gift	gift
giftbook	gíftbùk
giftie	gífti
giftwrap	gíftræ̀p
giftwrapping	gíftræ̀piŋ
gig	gig
gig	gig
gig	gig
gig	gig
giggle	gígəl
giggly	gígli
giglet	gíglit
gigglesmoke	gíglsmòuk
gehenna	gihénə
glebe	giíʒb
ghyll	gil
gill	gil
gill	gil
gill	gil
gilbertese	gìlbərtíʒz
gilbert	gilbə́ʒrt
gilbert	gilbə́ʒrt
gilbertian	gilbə́ʒrtiən
gild	gild
gild	gild
gilled	gild
guild	gild
gilder	gíldər
gilder	gíldər
guilder	gíldər
guildhall	gíldhɔ̀ʒl
gilded	gildid
guildsman	gíldzmən
guillemot	gíləmàt
guillotine	gílətìn
ghilgai	gílgai
gilgai	gílgai
gilgamesh	gílgəè∫
gillie	gíli
gilly	gíli
giliak	giljǽk
gilyak	giljǽk
guilloche	gilóu∫
gilt	gilt
gilt	gilt
guilt	gilt
giltedged	gíltédʒd
guilty	gilti
guilty	gílti
giltcup	gíltkλp
guiltless	gíltlis
gimme	gími
gimmick	gímik
gimmickery	gímikəri
gimmicky	gímiki
gimlet	gímlit
gimleteyed	gimlitàid
gimp	gimp
gymp	gimp
gimpy	gímpi
gin	gin
gainful	gínfəl
ginney	gíni
guinea	gíni
guinea	gíni
guineaman	gínimən
ginzo	gínzou
ginormous	ginʒɔərməs
gingham	gíŋəm
gink	giŋk
gingko	gíŋkou
ginkgo	gíŋkou
gip	gip
gissing	gísiŋ
git	git
gittern	gítəʒrn
guitar	gitάʒr
give	giv
give	giv
give	giv
given	gívən
given	gívən
giveandtake	gívəntéik
giver	gívər
giveaway	givəwèi
giveaway	gívəwèi
giveupitis	gívʌpάitis
giveup	gívλp
gizzard	gízərd
gismo	gízmou
gizmo	gízmou
gie	giʒ
guichet	giʒ∫éi
giza	gíʒaə
gide	gíʒd
geez	giʒéz
geek	giʒk
guyot	gíʒou
geep	giʒp
geese	giʒs
geezer	gíʒzər
gewgaw	gjúʒgɔʒ
gular	gjúʒlər
gulch	gjuʒlz
glottochronology	gl`ctoukrənάlədʒi
glob	glab
globulaity	glàbjulǽrəti
glad	glæd
glad	glæd
glad	glæd
gladeye	glǽdài
gladiator	glǽdièitər
gladiatorial	glæ̀diətɔ́ʒriəl
gladiola	glæ̀dióulə
gladiolus	glæ̀dióuləs
gladys	glǽdis
gladly	glǽdli
gladness	glǽdnis
gladsome	glǽdsəm
gladstonial	glædstóuniən
glam	glæm
glandular	glǽmdʒulər
glamor	glǽmər
glamor	glǽmər
glamour	glǽmər
glamour	glǽmər
glamorize	glǽməraiz
glamorous	glǽmərəs
gland	glænd
gland	glænd
glandiform	glǽndəfɔ̀rm
glandered	glǽndərd
glanderous	glǽndərəs
glanders	glǽndərz
glandule	glǽndʒuʒ
glance	glæns
glance	glæns
glance	glæns
glancing	glǽnsiŋ
glans	glænz
glass	glæs
glass	glæs
glabrous	glæséi
glace	glæséi
glasphalt	glǽsfɔ̀ʒlt
glassful	glǽsfùl
glasgow	glǽsgou
glassy	glæsi
glassine	glæsíʒnʒ
glassmaking	glǽsmèiki∫
glassmaker	glǽsmèikr
glassman	glǽsmən
glassteel	glǽsstìʒl
glasswork	glæswə̀ʒrk
glassworker	glǽswə̀ʒrk
glassworks	glæswə̀ʒrks
glassware	glæswɛər
glaswegian	glæswíʒdʒitn
glide	glaid
glide	glaid
glide	glaid
glycogenesis	glàikoudénəsis
glycogenic	glàikoudʒénik
glycoprotein	glàikoupróutiʒnʒ
glycosuria	glàikousjúəriə̀
glycolysis	glaikάləsis
glyconic	glaikάnik
gloxinia	glaksíniə
glom	glam
glomeration	glàməréi∫en
glop	glap
gloss	glas
gloss	glas
gloss	glas
gloss	glas
glossolalia	glàsəléiliə
glossematics	glàsəmǽtiks
glossographer	glasάgrəfər
glossitis	glasάitis
glossology	glasάlədʒi
glossarial	glasέəriəl
glaum	glaʒm
glacialist	gléi∫əlist
glacier	gléi∫ər
glaciation	gléi∫ièi∫ən
glaciate	gléi∫ièit
glaciated	gléi∫ièitid
glaciology	glèi∫iάlədʒi
glade	gleid
glaive	gleiv
glaze	gleiz
glaze	gleiz
glaze	gleiz
glazed	gleizd
glazy	gléizi
glazingbar	gléizi∫bàər
glazing	gléiziŋ
glazier	gléiʒər
glazier	gléiʒər
glaziery	gléiʒəri
glen	glen
glengarry	glengǽri
glenoid	glénɔid
glomerular	gləmérjulər
glary	glɛəri
glary	glɛəri
glaring	glɛəriŋ
glib	glib
glyph	glif
glyphofraph	glífəgræ̀f
glyphographic	glìfəgrǽfik
glim	glim
glimmer	glímər
glimpse	glimps
glimpse	glimps
glean	glin
glint	glint
glioma	glióumə
glyptodont	glíptədànt
glyptograph	glíptəgràf
glyptic	glíptik
glyptics	glíptiks
glyptography	gliptάgrəfi
glyceryl	glísəril
glycerin	glísərin
glycerinate	glísərinèit
glycerol	glísərɔ̀ʒl
glycine	glísiʒnʒ
glissement	glismaʒ∫
glisten	glísn
glister	glístər
glissando	glisάndou
glissade	glisάʒd
glitch	glit∫
glitter	glítər
glittery	glítəri
glitterati	glìtərάʒʒti
glitz	glits
glitzy	glítsi
glee	gliʒ
gleeful	glíʒfəl
gleam	gliʒm
gleeman	glíʒmən
gleamer	glíʒmər
gleamy	glíʒmi
gleep	gliʒp
gleesome	glíʒsəm
gleet	gliʒt
glow	glou
glow	glou
globe	gloub
globe	gloub
globate	glóubeit
global	glóubəl
globalist	glóubəlist
globalism	glóubəlìzəm
globefish	gloubfi∫
globin	glóubin
globelike	glóublàik
globose	glóubous
globoid	glóubɔid
globetrotting	glóubtrài∫
globetrot	glóubtràt
globetrotter	glóubtràtər
globes	gloubz
globosity	gloubάsəti
glowfly	glóuflài
globeflower	glóuflàuər
gloam	gloum
gloaming	glóumiŋ
gloat	glout
glatingly	glóuti∫li
glowworm	glóuwə̀ʒrm
gloze	glouz
gloze	glouz
glauconite	glɔ́ʒkənàit
glaucous	glɔ́ʒkəs
glaucoma	glɔʒkóumə
glaucomatous	glɔʒkóumətəs
glorify	glɔ́ʒrəfài
glorifier	glɔ́ʒrəfàiər
glofification	glɔ̀ʒrəfikéi∫ən
glory	glɔ́ʒri
glory	glɔ́ʒri
gloria	glɔ́ʒriə
gloria	glɔ́ʒriə
glorious	glɔ́ʒriəs
gloriously	glɔ́ʒriəsi
gloriole	glɔ́ʒriòul
glauce	glɔ́ʒsi
gaetkeeper	gltkìʒpər
glue	gluʒ
gluon	glúʒan
gluefase	glúʒfæ̀st
gluey	glúʒi
glucagon	glúʒkəgàn
glucoside	glúʒkəsàid
glucoreceptor	glùʒkourisépt%r
glucose	glúʒkous
glucosic	gluʒkάsik
gloom	gluʒm
gloom	gluʒm
gloomy	glúʒmi
gloomster	glúʒmstər
gluepot	glúʒpàt
glucinium	gluʒsíniəm
gluesniffing	glúʒsnìfiŋ
glucinum	gluʒsάinəm
glutathione	glúʒtæθaioun
glutamine	glúʒtəmìn
gluten	glúʒtən
gluteus	glúʒtənəs
glutinous	glúʒtənəs
glutinous	glúʒtənəs
glutinosity	glùʒtənάsəti
gluteal	glúʒtiəl
glum	glʌm
glut	glʌt
glove	glʌv
globular	glάbjələr
globulin	glάbjəlin
globulous	glάbjuləs
globule	glάbjuʒl
glider	glάidər
gliding	glάidi∫
glidingly	glάidi∫li
glia	glάiə
gliadine	glάiədin
glycogen	glάikədʒən
glycoside	glάikəsàid
glycol	glάikɔʒl
glycolic	glάikɔʒlik
gleitzeit	glάittsait
glockenspiel	glάkənspìʒl
glomerate	glάmərit
glomerulus	glάmərjùləs
glomerule	glάmərjùʒl
glonoin	glάnouin
glidebomg	glάodbàm
glossator	glάseitər
glossal	glάsəl
glossily	glάsəli
glossary	glάsəri
glossarist	glάsərist
